Year,Region,Fuel_Type,Transmission,Model,Price_USD,Type
2017,Africa,Electric,Automatic,3 Series,65353,Actual
2018,Africa,Electric,Automatic,3 Series,96697,Actual
2019,Africa,Electric,Automatic,3 Series,88403,Actual
2020,Africa,Electric,Automatic,3 Series,79385,Actual
2021,Africa,Electric,Automatic,3 Series,81592,Actual
2022,Africa,Electric,Automatic,3 Series,91643,Actual
2023,Africa,Electric,Automatic,3 Series,82780,Actual
2024,Africa,Electric,Automatic,3 Series,67920,Actual
2025,Africa,Electric,Automatic,3 Series,71381,Forecast
2026,Africa,Electric,Automatic,3 Series,67358,Forecast
2027,Africa,Electric,Automatic,3 Series,63335,Forecast
2010,Africa,Electric,Manual,3 Series,77088,Actual
2011,Africa,Electric,Manual,3 Series,76397,Actual
2012,Africa,Electric,Manual,3 Series,85447,Actual
2013,Africa,Electric,Manual,3 Series,71459,Actual
2014,Africa,Electric,Manual,3 Series,86279,Actual
2015,Africa,Electric,Manual,3 Series,78602,Actual
2016,Africa,Electric,Manual,3 Series,93806,Actual
2017,Africa,Electric,Manual,3 Series,83157,Actual
2018,Africa,Electric,Manual,3 Series,75503,Actual
2019,Africa,Electric,Manual,3 Series,69805,Actual
2020,Africa,Electric,Manual,3 Series,84823,Actual
2021,Africa,Electric,Manual,3 Series,95137,Actual
2022,Africa,Electric,Manual,3 Series,80092,Actual
2023,Africa,Electric,Manual,3 Series,73435,Actual
2024,Africa,Electric,Manual,3 Series,82898,Actual
2025,Africa,Electric,Manual,3 Series,79733,Forecast
2026,Africa,Electric,Manual,3 Series,79210,Forecast
2027,Africa,Electric,Manual,3 Series,78688,Forecast
2010,Africa,Hybrid,Automatic,3 Series,76876,Actual
2011,Africa,Hybrid,Automatic,3 Series,81451,Actual
2012,Africa,Hybrid,Automatic,3 Series,69795,Actual
2013,Africa,Hybrid,Automatic,3 Series,73160,Actual
2014,Africa,Hybrid,Automatic,3 Series,59357,Actual
2015,Africa,Hybrid,Automatic,3 Series,83493,Actual
2016,Africa,Hybrid,Automatic,3 Series,82650,Actual
2017,Africa,Hybrid,Automatic,3 Series,89756,Actual
2018,Africa,Hybrid,Automatic,3 Series,62541,Actual
2019,Africa,Hybrid,Automatic,3 Series,73152,Actual
2020,Africa,Hybrid,Automatic,3 Series,80148,Actual
2021,Africa,Hybrid,Automatic,3 Series,61330,Actual
2022,Africa,Hybrid,Automatic,3 Series,90489,Actual
2023,Africa,Hybrid,Automatic,3 Series,68263,Actual
2024,Africa,Hybrid,Automatic,3 Series,69235,Actual
2025,Africa,Hybrid,Automatic,3 Series,69370,Forecast
2026,Africa,Hybrid,Automatic,3 Series,67779,Forecast
2027,Africa,Hybrid,Automatic,3 Series,66188,Forecast
2010,Africa,Hybrid,Manual,3 Series,78017,Actual
2011,Africa,Hybrid,Manual,3 Series,73166,Actual
2012,Africa,Hybrid,Manual,3 Series,72575,Actual
2013,Africa,Hybrid,Manual,3 Series,73048,Actual
2014,Africa,Hybrid,Manual,3 Series,80177,Actual
2015,Africa,Hybrid,Manual,3 Series,91435,Actual
2016,Africa,Hybrid,Manual,3 Series,91855,Actual
2017,Africa,Hybrid,Manual,3 Series,72106,Actual
2018,Africa,Hybrid,Manual,3 Series,66790,Actual
2019,Africa,Hybrid,Manual,3 Series,62452,Actual
2020,Africa,Hybrid,Manual,3 Series,71386,Actual
2021,Africa,Hybrid,Manual,3 Series,66974,Actual
2022,Africa,Hybrid,Manual,3 Series,74588,Actual
2023,Africa,Hybrid,Manual,3 Series,71875,Actual
2024,Africa,Hybrid,Manual,3 Series,70083,Actual
2025,Africa,Hybrid,Manual,3 Series,71365,Forecast
2026,Africa,Hybrid,Manual,3 Series,71713,Forecast
2027,Africa,Hybrid,Manual,3 Series,72061,Forecast
2010,Africa,Petrol,Automatic,3 Series,54294,Actual
2011,Africa,Petrol,Automatic,3 Series,68610,Actual
2012,Africa,Petrol,Automatic,3 Series,64665,Actual
2013,Africa,Petrol,Automatic,3 Series,64668,Actual
2014,Africa,Petrol,Automatic,3 Series,64020,Actual
2015,Africa,Petrol,Automatic,3 Series,103331,Actual
2016,Africa,Petrol,Automatic,3 Series,69170,Actual
2017,Africa,Petrol,Automatic,3 Series,79069,Actual
2018,Africa,Petrol,Automatic,3 Series,66866,Actual
2019,Africa,Petrol,Automatic,3 Series,87805,Actual
2020,Africa,Petrol,Automatic,3 Series,82245,Actual
2021,Africa,Petrol,Automatic,3 Series,66745,Actual
2022,Africa,Petrol,Automatic,3 Series,77086,Actual
2023,Africa,Petrol,Automatic,3 Series,65333,Actual
2024,Africa,Petrol,Automatic,3 Series,67143,Actual
2025,Africa,Petrol,Automatic,3 Series,63810,Forecast
2026,Africa,Petrol,Automatic,3 Series,61097,Forecast
2027,Africa,Petrol,Automatic,3 Series,58385,Forecast
2010,Africa,Petrol,Manual,3 Series,92858,Actual
2011,Africa,Petrol,Manual,3 Series,72840,Actual
2012,Africa,Petrol,Manual,3 Series,71660,Actual
2013,Africa,Petrol,Manual,3 Series,66979,Actual
2014,Africa,Petrol,Manual,3 Series,80718,Actual
2015,Africa,Petrol,Manual,3 Series,88874,Actual
2016,Africa,Petrol,Manual,3 Series,102020,Actual
2017,Africa,Petrol,Manual,3 Series,102162,Actual
2018,Africa,Petrol,Manual,3 Series,74091,Actual
2019,Africa,Petrol,Manual,3 Series,74983,Actual
2020,Africa,Petrol,Manual,3 Series,85761,Actual
2021,Africa,Petrol,Manual,3 Series,71468,Actual
2022,Africa,Petrol,Manual,3 Series,58075,Actual
2023,Africa,Petrol,Manual,3 Series,94477,Actual
2024,Africa,Petrol,Manual,3 Series,40554,Actual
2025,Africa,Petrol,Manual,3 Series,49344,Forecast
2026,Africa,Petrol,Manual,3 Series,41773,Forecast
2027,Africa,Petrol,Manual,3 Series,34202,Forecast
2010,Africa,Diesel,Automatic,5 Series,66505,Actual
2011,Africa,Diesel,Automatic,5 Series,95404,Actual
2012,Africa,Diesel,Automatic,5 Series,84222,Actual
2013,Africa,Diesel,Automatic,5 Series,76076,Actual
2014,Africa,Diesel,Automatic,5 Series,84548,Actual
2015,Africa,Diesel,Automatic,5 Series,73532,Actual
2016,Africa,Diesel,Automatic,5 Series,87818,Actual
2017,Africa,Diesel,Automatic,5 Series,72446,Actual
2018,Africa,Diesel,Automatic,5 Series,62474,Actual
2019,Africa,Diesel,Automatic,5 Series,69284,Actual
2020,Africa,Diesel,Automatic,5 Series,79864,Actual
2022,Africa,Diesel,Automatic,5 Series,74137,Actual
2023,Africa,Diesel,Automatic,5 Series,79337,Actual
2024,Africa,Diesel,Automatic,5 Series,81093,Actual
2025,Africa,Diesel,Automatic,5 Series,82641,Forecast
2026,Africa,Diesel,Automatic,5 Series,84879,Forecast
2027,Africa,Diesel,Automatic,5 Series,87118,Forecast
2010,Africa,Diesel,Manual,5 Series,74257,Actual
2011,Africa,Diesel,Manual,5 Series,112511,Actual
2012,Africa,Diesel,Manual,5 Series,100990,Actual
2013,Africa,Diesel,Manual,5 Series,64477,Actual
2014,Africa,Diesel,Manual,5 Series,85938,Actual
2015,Africa,Diesel,Manual,5 Series,77488,Actual
2016,Africa,Diesel,Manual,5 Series,81272,Actual
2017,Africa,Diesel,Manual,5 Series,75744,Actual
2018,Africa,Diesel,Manual,5 Series,63276,Actual
2019,Africa,Diesel,Manual,5 Series,65668,Actual
2020,Africa,Diesel,Manual,5 Series,80174,Actual
2021,Africa,Diesel,Manual,5 Series,86434,Actual
2022,Africa,Diesel,Manual,5 Series,65568,Actual
2023,Africa,Diesel,Manual,5 Series,83684,Actual
2024,Africa,Diesel,Manual,5 Series,72334,Actual
2025,Africa,Diesel,Manual,5 Series,75670,Forecast
2026,Africa,Diesel,Manual,5 Series,75465,Forecast
2027,Africa,Diesel,Manual,5 Series,75260,Forecast
2010,Africa,Electric,Automatic,5 Series,69162,Actual
2011,Africa,Electric,Automatic,5 Series,104837,Actual
2012,Africa,Electric,Automatic,5 Series,61603,Actual
2013,Africa,Electric,Automatic,5 Series,92861,Actual
2014,Africa,Electric,Automatic,5 Series,80728,Actual
2015,Africa,Electric,Automatic,5 Series,90480,Actual
2016,Africa,Electric,Automatic,5 Series,71980,Actual
2017,Africa,Electric,Automatic,5 Series,78640,Actual
2018,Africa,Electric,Automatic,5 Series,70399,Actual
2019,Africa,Electric,Automatic,5 Series,75597,Actual
2020,Africa,Electric,Automatic,5 Series,84112,Actual
2021,Africa,Electric,Automatic,5 Series,75463,Actual
2022,Africa,Electric,Automatic,5 Series,79603,Actual
2023,Africa,Electric,Automatic,5 Series,86544,Actual
2024,Africa,Electric,Automatic,5 Series,86271,Actual
2025,Africa,Electric,Automatic,5 Series,88578,Forecast
2026,Africa,Electric,Automatic,5 Series,90974,Forecast
2027,Africa,Electric,Automatic,5 Series,93370,Forecast
2010,Africa,Electric,Manual,5 Series,90019,Actual
2011,Africa,Electric,Manual,5 Series,82787,Actual
2012,Africa,Electric,Manual,5 Series,78311,Actual
2013,Africa,Electric,Manual,5 Series,80635,Actual
2014,Africa,Electric,Manual,5 Series,67726,Actual
2015,Africa,Electric,Manual,5 Series,67458,Actual
2016,Africa,Electric,Manual,5 Series,77831,Actual
2017,Africa,Electric,Manual,5 Series,80440,Actual
2018,Africa,Electric,Manual,5 Series,68879,Actual
2019,Africa,Electric,Manual,5 Series,83240,Actual
2020,Africa,Electric,Manual,5 Series,79523,Actual
2021,Africa,Electric,Manual,5 Series,70451,Actual
2022,Africa,Electric,Manual,5 Series,78422,Actual
2023,Africa,Electric,Manual,5 Series,100828,Actual
2024,Africa,Electric,Manual,5 Series,62530,Actual
2025,Africa,Electric,Manual,5 Series,73915,Forecast
2026,Africa,Electric,Manual,5 Series,71499,Forecast
2027,Africa,Electric,Manual,5 Series,69082,Forecast
2010,Africa,Hybrid,Automatic,5 Series,71465,Actual
2011,Africa,Hybrid,Automatic,5 Series,68176,Actual
2012,Africa,Hybrid,Automatic,5 Series,72395,Actual
2013,Africa,Hybrid,Automatic,5 Series,87677,Actual
2014,Africa,Hybrid,Automatic,5 Series,50144,Actual
2015,Africa,Hybrid,Automatic,5 Series,100304,Actual
2016,Africa,Hybrid,Automatic,5 Series,63743,Actual
2017,Africa,Hybrid,Automatic,5 Series,82221,Actual
2018,Africa,Hybrid,Automatic,5 Series,39813,Actual
2019,Africa,Hybrid,Automatic,5 Series,69114,Actual
2020,Africa,Hybrid,Automatic,5 Series,74026,Actual
2021,Africa,Hybrid,Automatic,5 Series,51346,Actual
2022,Africa,Hybrid,Automatic,5 Series,87314,Actual
2023,Africa,Hybrid,Automatic,5 Series,78988,Actual
2024,Africa,Hybrid,Automatic,5 Series,95141,Actual
2025,Africa,Hybrid,Automatic,5 Series,97896,Forecast
2026,Africa,Hybrid,Automatic,5 Series,105272,Forecast
2027,Africa,Hybrid,Automatic,5 Series,112648,Forecast
2010,Africa,Hybrid,Manual,5 Series,103467,Actual
2011,Africa,Hybrid,Manual,5 Series,59194,Actual
2012,Africa,Hybrid,Manual,5 Series,54906,Actual
2013,Africa,Hybrid,Manual,5 Series,82893,Actual
2014,Africa,Hybrid,Manual,5 Series,75108,Actual
2015,Africa,Hybrid,Manual,5 Series,58109,Actual
2016,Africa,Hybrid,Manual,5 Series,105004,Actual
2017,Africa,Hybrid,Manual,5 Series,64360,Actual
2018,Africa,Hybrid,Manual,5 Series,61093,Actual
2019,Africa,Hybrid,Manual,5 Series,77060,Actual
2020,Africa,Hybrid,Manual,5 Series,71826,Actual
2021,Africa,Hybrid,Manual,5 Series,84748,Actual
2022,Africa,Hybrid,Manual,5 Series,59952,Actual
2023,Africa,Hybrid,Manual,5 Series,92811,Actual
2024,Africa,Hybrid,Manual,5 Series,85056,Actual
2025,Africa,Hybrid,Manual,5 Series,89129,Forecast
2026,Africa,Hybrid,Manual,5 Series,92759,Forecast
2027,Africa,Hybrid,Manual,5 Series,96389,Forecast
2010,Africa,Petrol,Automatic,5 Series,82019,Actual
2011,Africa,Petrol,Automatic,5 Series,62750,Actual
2012,Africa,Petrol,Automatic,5 Series,79072,Actual
2013,Africa,Petrol,Automatic,5 Series,76881,Actual
2014,Africa,Petrol,Automatic,5 Series,59593,Actual
2015,Africa,Petrol,Automatic,5 Series,84053,Actual
2016,Africa,Petrol,Automatic,5 Series,97526,Actual
2017,Africa,Petrol,Automatic,5 Series,73618,Actual
2018,Africa,Petrol,Automatic,5 Series,89155,Actual
2019,Africa,Petrol,Automatic,5 Series,71922,Actual
2020,Africa,Petrol,Automatic,5 Series,91466,Actual
2021,Africa,Petrol,Automatic,5 Series,79426,Actual
2022,Africa,Petrol,Automatic,5 Series,71047,Actual
2023,Africa,Petrol,Automatic,5 Series,94094,Actual
2024,Africa,Petrol,Automatic,5 Series,69016,Actual
2025,Africa,Petrol,Automatic,5 Series,74194,Forecast
2026,Africa,Petrol,Automatic,5 Series,71902,Forecast
2027,Africa,Petrol,Automatic,5 Series,69611,Forecast
2010,Africa,Petrol,Manual,5 Series,67950,Actual
2011,Africa,Petrol,Manual,5 Series,68321,Actual
2012,Africa,Petrol,Manual,5 Series,79676,Actual
2013,Africa,Petrol,Manual,5 Series,65468,Actual
2014,Africa,Petrol,Manual,5 Series,57338,Actual
2015,Africa,Petrol,Manual,5 Series,66766,Actual
2016,Africa,Petrol,Manual,5 Series,69157,Actual
2017,Africa,Petrol,Manual,5 Series,79989,Actual
2018,Africa,Petrol,Manual,5 Series,53575,Actual
2019,Africa,Petrol,Manual,5 Series,73221,Actual
2020,Africa,Petrol,Manual,5 Series,63448,Actual
2021,Africa,Petrol,Manual,5 Series,90975,Actual
2022,Africa,Petrol,Manual,5 Series,75156,Actual
2023,Africa,Petrol,Manual,5 Series,67912,Actual
2024,Africa,Petrol,Manual,5 Series,91051,Actual
2025,Africa,Petrol,Manual,5 Series,87604,Forecast
2026,Africa,Petrol,Manual,5 Series,91326,Forecast
2027,Africa,Petrol,Manual,5 Series,95049,Forecast
2010,Africa,Diesel,Automatic,7 Series,94884,Actual
2011,Africa,Diesel,Automatic,7 Series,86975,Actual
2012,Africa,Diesel,Automatic,7 Series,65546,Actual
2013,Africa,Diesel,Automatic,7 Series,75392,Actual
2014,Africa,Diesel,Automatic,7 Series,80531,Actual
2015,Africa,Diesel,Automatic,7 Series,62610,Actual
2016,Africa,Diesel,Automatic,7 Series,92418,Actual
2017,Africa,Diesel,Automatic,7 Series,90150,Actual
2018,Africa,Diesel,Automatic,7 Series,76813,Actual
2019,Africa,Diesel,Automatic,7 Series,67217,Actual
2020,Africa,Diesel,Automatic,7 Series,87107,Actual
2021,Africa,Diesel,Automatic,7 Series,80077,Actual
2022,Africa,Diesel,Automatic,7 Series,80478,Actual
2023,Africa,Diesel,Automatic,7 Series,65437,Actual
2024,Africa,Diesel,Automatic,7 Series,75111,Actual
2025,Africa,Diesel,Automatic,7 Series,70625,Forecast
2026,Africa,Diesel,Automatic,7 Series,68866,Forecast
2027,Africa,Diesel,Automatic,7 Series,67107,Forecast
2010,Africa,Diesel,Manual,7 Series,72791,Actual
2011,Africa,Diesel,Manual,7 Series,75369,Actual
2012,Africa,Diesel,Manual,7 Series,64958,Actual
2013,Africa,Diesel,Manual,7 Series,79094,Actual
2014,Africa,Diesel,Manual,7 Series,71662,Actual
2015,Africa,Diesel,Manual,7 Series,73925,Actual
2016,Africa,Diesel,Manual,7 Series,84018,Actual
2017,Africa,Diesel,Manual,7 Series,85534,Actual
2018,Africa,Diesel,Manual,7 Series,62979,Actual
2019,Africa,Diesel,Manual,7 Series,83910,Actual
2020,Africa,Diesel,Manual,7 Series,62030,Actual
2021,Africa,Diesel,Manual,7 Series,72691,Actual
2022,Africa,Diesel,Manual,7 Series,61996,Actual
2023,Africa,Diesel,Manual,7 Series,60022,Actual
2024,Africa,Diesel,Manual,7 Series,86611,Actual
2025,Africa,Diesel,Manual,7 Series,78422,Forecast
2026,Africa,Diesel,Manual,7 Series,82053,Forecast
2027,Africa,Diesel,Manual,7 Series,85684,Forecast
2010,Africa,Electric,Automatic,7 Series,70013,Actual
2011,Africa,Electric,Automatic,7 Series,66199,Actual
2012,Africa,Electric,Automatic,7 Series,88812,Actual
2013,Africa,Electric,Automatic,7 Series,81675,Actual
2014,Africa,Electric,Automatic,7 Series,83144,Actual
2015,Africa,Electric,Automatic,7 Series,108626,Actual
2016,Africa,Electric,Automatic,7 Series,78007,Actual
2017,Africa,Electric,Automatic,7 Series,78034,Actual
2018,Africa,Electric,Automatic,7 Series,75377,Actual
2019,Africa,Electric,Automatic,7 Series,71336,Actual
2020,Africa,Electric,Automatic,7 Series,81071,Actual
2021,Africa,Electric,Automatic,7 Series,50311,Actual
2022,Africa,Electric,Automatic,7 Series,85678,Actual
2023,Africa,Electric,Automatic,7 Series,74836,Actual
2024,Africa,Electric,Automatic,7 Series,69003,Actual
2025,Africa,Electric,Automatic,7 Series,71189,Forecast
2026,Africa,Electric,Automatic,7 Series,70795,Forecast
2027,Africa,Electric,Automatic,7 Series,70400,Forecast
2010,Africa,Electric,Manual,7 Series,64629,Actual
2011,Africa,Electric,Manual,7 Series,88194,Actual
2012,Africa,Electric,Manual,7 Series,72039,Actual
2013,Africa,Electric,Manual,7 Series,97463,Actual
2014,Africa,Electric,Manual,7 Series,76862,Actual
2015,Africa,Electric,Manual,7 Series,61491,Actual
2016,Africa,Electric,Manual,7 Series,95094,Actual
2017,Africa,Electric,Manual,7 Series,66646,Actual
2018,Africa,Electric,Manual,7 Series,68644,Actual
2019,Africa,Electric,Manual,7 Series,83357,Actual
2020,Africa,Electric,Manual,7 Series,82451,Actual
2021,Africa,Electric,Manual,7 Series,74350,Actual
2022,Africa,Electric,Manual,7 Series,67206,Actual
2023,Africa,Electric,Manual,7 Series,71964,Actual
2024,Africa,Electric,Manual,7 Series,84620,Actual
2025,Africa,Electric,Manual,7 Series,80386,Forecast
2026,Africa,Electric,Manual,7 Series,82394,Forecast
2027,Africa,Electric,Manual,7 Series,84403,Forecast
2010,Africa,Hybrid,Automatic,7 Series,71520,Actual
2011,Africa,Hybrid,Automatic,7 Series,70903,Actual
2012,Africa,Hybrid,Automatic,7 Series,70874,Actual
2013,Africa,Hybrid,Automatic,7 Series,86616,Actual
2014,Africa,Hybrid,Automatic,7 Series,65912,Actual
2015,Africa,Hybrid,Automatic,7 Series,68992,Actual
2016,Africa,Hybrid,Automatic,7 Series,61393,Actual
2017,Africa,Hybrid,Automatic,7 Series,83895,Actual
2018,Africa,Hybrid,Automatic,7 Series,66036,Actual
2019,Africa,Hybrid,Automatic,7 Series,81325,Actual
2020,Africa,Hybrid,Automatic,7 Series,55326,Actual
2021,Africa,Hybrid,Automatic,7 Series,72911,Actual
2022,Africa,Hybrid,Automatic,7 Series,55890,Actual
2023,Africa,Hybrid,Automatic,7 Series,76100,Actual
2024,Africa,Hybrid,Automatic,7 Series,81858,Actual
2025,Africa,Hybrid,Automatic,7 Series,80974,Forecast
2026,Africa,Hybrid,Automatic,7 Series,84998,Forecast
2027,Africa,Hybrid,Automatic,7 Series,89022,Forecast
2010,Africa,Hybrid,Manual,7 Series,91307,Actual
2011,Africa,Hybrid,Manual,7 Series,104100,Actual
2012,Africa,Hybrid,Manual,7 Series,52732,Actual
2013,Africa,Hybrid,Manual,7 Series,76655,Actual
2014,Africa,Hybrid,Manual,7 Series,64718,Actual
2015,Africa,Hybrid,Manual,7 Series,60564,Actual
2016,Africa,Hybrid,Manual,7 Series,67651,Actual
2017,Africa,Hybrid,Manual,7 Series,69576,Actual
2018,Africa,Hybrid,Manual,7 Series,50797,Actual
2019,Africa,Hybrid,Manual,7 Series,85867,Actual
2020,Africa,Hybrid,Manual,7 Series,65445,Actual
2021,Africa,Hybrid,Manual,7 Series,54811,Actual
2022,Africa,Hybrid,Manual,7 Series,88055,Actual
2023,Africa,Hybrid,Manual,7 Series,95495,Actual
2024,Africa,Hybrid,Manual,7 Series,72222,Actual
2025,Africa,Hybrid,Manual,7 Series,84222,Forecast
2026,Africa,Hybrid,Manual,7 Series,86084,Forecast
2027,Africa,Hybrid,Manual,7 Series,87946,Forecast
2010,Africa,Petrol,Automatic,7 Series,67733,Actual
2011,Africa,Petrol,Automatic,7 Series,90585,Actual
2012,Africa,Petrol,Automatic,7 Series,91089,Actual
2013,Africa,Petrol,Automatic,7 Series,54874,Actual
2014,Africa,Petrol,Automatic,7 Series,69821,Actual
2015,Africa,Petrol,Automatic,7 Series,77088,Actual
2016,Africa,Petrol,Automatic,7 Series,101284,Actual
2017,Africa,Petrol,Automatic,7 Series,78912,Actual
2018,Africa,Petrol,Automatic,7 Series,74884,Actual
2019,Africa,Petrol,Automatic,7 Series,72090,Actual
2020,Africa,Petrol,Automatic,7 Series,81772,Actual
2021,Africa,Petrol,Automatic,7 Series,70076,Actual
2022,Africa,Petrol,Automatic,7 Series,70318,Actual
2023,Africa,Petrol,Automatic,7 Series,64068,Actual
2024,Africa,Petrol,Automatic,7 Series,83484,Actual
2025,Africa,Petrol,Automatic,7 Series,76797,Forecast
2026,Africa,Petrol,Automatic,7 Series,78526,Forecast
2027,Africa,Petrol,Automatic,7 Series,80256,Forecast
2010,Africa,Petrol,Manual,7 Series,84959,Actual
2011,Africa,Petrol,Manual,7 Series,86501,Actual
2012,Africa,Petrol,Manual,7 Series,86382,Actual
2013,Africa,Petrol,Manual,7 Series,80537,Actual
2014,Africa,Petrol,Manual,7 Series,106581,Actual
2015,Africa,Petrol,Manual,7 Series,76276,Actual
2016,Africa,Petrol,Manual,7 Series,109762,Actual
2017,Africa,Petrol,Manual,7 Series,68693,Actual
2018,Africa,Petrol,Manual,7 Series,81074,Actual
2019,Africa,Petrol,Manual,7 Series,93067,Actual
2020,Africa,Petrol,Manual,7 Series,76205,Actual
2021,Africa,Petrol,Manual,7 Series,73256,Actual
2022,Africa,Petrol,Manual,7 Series,71248,Actual
2023,Africa,Petrol,Manual,7 Series,82118,Actual
2024,Africa,Petrol,Manual,7 Series,77194,Actual
2025,Africa,Petrol,Manual,7 Series,76906,Forecast
2026,Africa,Petrol,Manual,7 Series,76970,Forecast
2027,Africa,Petrol,Manual,7 Series,77034,Forecast
2010,Africa,Diesel,Automatic,M3,69790,Actual
2011,Africa,Diesel,Automatic,M3,67442,Actual
2012,Africa,Diesel,Automatic,M3,65365,Actual
2013,Africa,Diesel,Automatic,M3,80493,Actual
2014,Africa,Diesel,Automatic,M3,87738,Actual
2015,Africa,Diesel,Automatic,M3,82419,Actual
2016,Africa,Diesel,Automatic,M3,70440,Actual
2017,Africa,Diesel,Automatic,M3,47415,Actual
2018,Africa,Diesel,Automatic,M3,70264,Actual
2019,Africa,Diesel,Automatic,M3,83347,Actual
2020,Africa,Diesel,Automatic,M3,93235,Actual
2021,Africa,Diesel,Automatic,M3,68846,Actual
2022,Africa,Diesel,Automatic,M3,76847,Actual
2023,Africa,Diesel,Automatic,M3,50472,Actual
2024,Africa,Diesel,Automatic,M3,43480,Actual
2025,Africa,Diesel,Automatic,M3,38900,Forecast
2026,Africa,Diesel,Automatic,M3,29694,Forecast
2027,Africa,Diesel,Automatic,M3,20488,Forecast
2010,Africa,Diesel,Manual,M3,69322,Actual
2011,Africa,Diesel,Manual,M3,67492,Actual
2012,Africa,Diesel,Manual,M3,75029,Actual
2013,Africa,Diesel,Manual,M3,90716,Actual
2014,Africa,Diesel,Manual,M3,59516,Actual
2015,Africa,Diesel,Manual,M3,64016,Actual
2016,Africa,Diesel,Manual,M3,87236,Actual
2017,Africa,Diesel,Manual,M3,85090,Actual
2018,Africa,Diesel,Manual,M3,75236,Actual
2019,Africa,Diesel,Manual,M3,76118,Actual
2020,Africa,Diesel,Manual,M3,95962,Actual
2021,Africa,Diesel,Manual,M3,73489,Actual
2022,Africa,Diesel,Manual,M3,76101,Actual
2023,Africa,Diesel,Manual,M3,62926,Actual
2024,Africa,Diesel,Manual,M3,58127,Actual
2025,Africa,Diesel,Manual,M3,54152,Forecast
2026,Africa,Diesel,Manual,M3,48040,Forecast
2027,Africa,Diesel,Manual,M3,41927,Forecast
2010,Africa,Electric,Automatic,M3,68336,Actual
2011,Africa,Electric,Automatic,M3,67575,Actual
2012,Africa,Electric,Automatic,M3,87063,Actual
2013,Africa,Electric,Automatic,M3,85516,Actual
2014,Africa,Electric,Automatic,M3,74251,Actual
2015,Africa,Electric,Automatic,M3,69886,Actual
2016,Africa,Electric,Automatic,M3,70726,Actual
2017,Africa,Electric,Automatic,M3,63062,Actual
2018,Africa,Electric,Automatic,M3,66397,Actual
2019,Africa,Electric,Automatic,M3,82994,Actual
2020,Africa,Electric,Automatic,M3,80178,Actual
2021,Africa,Electric,Automatic,M3,80276,Actual
2022,Africa,Electric,Automatic,M3,97610,Actual
2023,Africa,Electric,Automatic,M3,68643,Actual
2024,Africa,Electric,Automatic,M3,79346,Actual
2025,Africa,Electric,Automatic,M3,78362,Forecast
2026,Africa,Electric,Automatic,M3,77336,Forecast
2027,Africa,Electric,Automatic,M3,76309,Forecast
2010,Africa,Electric,Manual,M3,70557,Actual
2011,Africa,Electric,Manual,M3,77188,Actual
2012,Africa,Electric,Manual,M3,79206,Actual
2013,Africa,Electric,Manual,M3,81595,Actual
2014,Africa,Electric,Manual,M3,86464,Actual
2015,Africa,Electric,Manual,M3,80198,Actual
